household,filename,appliance_column,appliance_name,appliance_category,is_refrigerator_or_freezer,is_washing_machine,is_television
1,CLEAN_House1.csv,Appliance1,Fridge,refrigerator,True,False,False
1,CLEAN_House1.csv,Appliance2,Freezer (1),freezer,True,False,False
1,CLEAN_House1.csv,Appliance3,Freezer (2),freezer,True,False,False
1,CLEAN_House1.csv,Appliance4,Washer Dryer,washer dryer,False,True,False
1,CLEAN_House1.csv,Appliance5,Washing Machine,washing machine,False,True,False
1,CLEAN_House1.csv,Appliance6,Dishwasher,dishwasher,False,False,False
1,CLEAN_House1.csv,Appliance7,Computer,computer,False,False,False
1,CLEAN_House1.csv,Appliance8,Television Site,television,False,False,True
1,CLEAN_House1.csv,Appliance9,Electric Heater,space heater,False,False,False
2,CLEAN_House2.csv,Appliance1,Fridge-Freezer,fridge freezer,True,False,False
2,CLEAN_House2.csv,Appliance2,Washing Machine,washing machine,False,True,False
2,CLEAN_House2.csv,Appliance3,Dishwasher,dishwasher,False,False,False
2,CLEAN_House2.csv,Appliance4,Television Site,television,False,False,True
2,CLEAN_House2.csv,Appliance5,Microwave,microwave,False,False,False
2,CLEAN_House2.csv,Appliance6,Toaster,toaster,False,False,False
2,CLEAN_House2.csv,Appliance7,Hi-Fi,audio,False,False,False
2,CLEAN_House2.csv,Appliance8,Kettle,kettle,False,False,False
2,CLEAN_House2.csv,Appliance9,Overhead Fan,fan,False,False,False
3,CLEAN_House3.csv,Appliance1,Toaster,toaster,False,False,False
3,CLEAN_House3.csv,Appliance2,Fridge-Freezer,fridge freezer,True,False,False
3,CLEAN_House3.csv,Appliance3,Freezer,freezer,True,False,False
3,CLEAN_House3.csv,Appliance4,Tumble Dryer,tumble dryer,False,False,False
3,CLEAN_House3.csv,Appliance5,Washing Machine,washing machine,False,True,False
3,CLEAN_House3.csv,Appliance6,Dishwasher,dishwasher,False,False,False
3,CLEAN_House3.csv,Appliance7,Computer,computer,False,False,False
3,CLEAN_House3.csv,Appliance8,Television Site,television,False,False,True
3,CLEAN_House3.csv,Appliance9,Microwave,microwave,False,False,False
4,CLEAN_House4.csv,Appliance1,Fridge,refrigerator,True,False,False
4,CLEAN_House4.csv,Appliance2,Freezer,freezer,True,False,False
4,CLEAN_House4.csv,Appliance3,Fridge-Freezer,fridge freezer,True,False,False
4,CLEAN_House4.csv,Appliance4,Washing Machine (1),washing machine,False,True,False
4,CLEAN_House4.csv,Appliance5,Washing Machine (2),washing machine,False,True,False
4,CLEAN_House4.csv,Appliance6,Computer,computer,False,False,False
4,CLEAN_House4.csv,Appliance7,Television Site,television,False,False,True
4,CLEAN_House4.csv,Appliance8,Microwave,microwave,False,False,False
4,CLEAN_House4.csv,Appliance9,Kettle,kettle,False,False,False
5,CLEAN_House5.csv,Appliance1,Fridge-Freezer,fridge freezer,True,False,False
5,CLEAN_House5.csv,Appliance2,Tumble Dryer,tumble dryer,False,False,False
5,CLEAN_House5.csv,Appliance3,Washing Machine (1),washing machine,False,True,False
5,CLEAN_House5.csv,Appliance4,Washing Machine (2),washing machine,False,True,False
5,CLEAN_House5.csv,Appliance5,Dishwasher,dishwasher,False,False,False
5,CLEAN_House5.csv,Appliance6,Computer,computer,False,False,False
5,CLEAN_House5.csv,Appliance7,Television Site,television,False,False,True
5,CLEAN_House5.csv,Appliance8,Microwave,microwave,False,False,False
5,CLEAN_House5.csv,Appliance9,Kettle,kettle,False,False,False
6,CLEAN_House6.csv,Appliance1,Freezer,freezer,True,False,False
6,CLEAN_House6.csv,Appliance2,Washing Machine,washing machine,False,True,False
6,CLEAN_House6.csv,Appliance3,Dishwasher,dishwasher,False,False,False
6,CLEAN_House6.csv,Appliance4,MJY Computer,computer,False,False,False
6,CLEAN_House6.csv,Appliance5,Television Site,television,False,False,True
6,CLEAN_House6.csv,Appliance6,Microwave,microwave,False,False,False
6,CLEAN_House6.csv,Appliance7,Kettle,kettle,False,False,False
6,CLEAN_House6.csv,Appliance8,Toaster,toaster,False,False,False
