household,filename,duration_days,total_samples,sensor_quality,issues_pct,refrigerator_eligible,refrigerator_notes,washing_machine_eligible,washing_machine_notes,television_eligible,television_notes,data_quality_flags,recommended_research_role
1,CLEAN_House1.csv,638.95,6960008,High Quality,0.836,True,"Usable (Fridge, 22.65% active duty cycle)",True,"Low activation (Washer Dryer, 0.26% active)",True,"Usable (Television Site, 17.63% active)",Clean sensor profile,Candidate Validation Set (In-Domain Early Stopping)
2,CLEAN_House2.csv,617.41,5733526,High Quality,0.4961,True,"Usable (Fridge-Freezer, 39.79% active duty cycle)",True,"Usable (Washing Machine, 3.77% active)",True,"Usable (Television Site, 9.16% active)",Clean sensor profile,Candidate Training Set (Primary High-Density Houses)
3,CLEAN_House3.csv,614.65,6994594,Moderate (Filterable),5.842,True,"Usable (Fridge-Freezer, 51.78% active duty cycle)",True,"Usable (Washing Machine, 3.99% active)",True,"Usable (Television Site, 0.8% active)",Elevated sensor glitch flags (5.842% Issues=1),Candidate Training Set (Primary High-Density Houses)
4,CLEAN_House4.csv,633.98,6760511,High Quality,0.9976,True,"Usable (Fridge, 19.06% active duty cycle)",True,"Low activation (Washing Machine (1), 0.26% active)",True,"Usable (Television Site, 39.09% active)",Clean sensor profile,General Auxiliary / Multi-House Training Pool
5,CLEAN_House5.csv,648.33,7430755,Moderate (Filterable),5.7298,True,"Usable (Fridge-Freezer, 50.4% active duty cycle)",True,"Usable (Washing Machine (1), 7.02% active)",True,"Usable (Television Site, 6.87% active)",Elevated sensor glitch flags (5.7298% Issues=1),Candidate Training Set (Primary High-Density Houses)
6,CLEAN_House6.csv,577.42,6241971,High Quality,0.5519,True,"Standalone freezer only (Freezer, 34.29% active)",True,"Usable (Washing Machine, 1.42% active)",True,"Usable (Television Site, 86.14% active)",Clean sensor profile,Candidate Test Set (In-Domain Benchmark Evaluation)
7,CLEAN_House7.csv,613.17,6756034,Moderate (Filterable),2.3967,True,"Usable (Fridge, 20.65% active duty cycle)",True,"Usable (Washing Machine, 6.9% active)",True,"Usable (Television Site, 30.72% active)",Elevated sensor glitch flags (2.3967% Issues=1),Candidate Training Set (Primary High-Density Houses)
8,CLEAN_House8.csv,555.06,6118469,High Quality,0.4086,True,"Usable (Fridge, 18.61% active duty cycle)",True,"Usable (Washing Machine, 2.9% active)",True,"Usable (Television Site, 21.55% active)",Clean sensor profile,Candidate Validation Set (In-Domain Early Stopping)
9,CLEAN_House9.csv,568.06,6169525,High Quality,0.5223,True,"Usable (Fridge-Freezer, 50.43% active duty cycle)",True,"Usable (Washer Dryer, 3.62% active)",True,"Usable (Television Site, 76.38% active)",Clean sensor profile,Candidate Training Set (Primary High-Density Houses)
10,CLEAN_House10.csv,586.98,6739284,High Quality,0.4476,True,"Usable (Fridge-Freezer, 60.59% active duty cycle)",True,"Usable (Washing Machine, 31.12% active)",True,"Usable (Television Site, 12.52% active)",Clean sensor profile,Candidate Test Set (In-Domain Benchmark Evaluation)
11,CLEAN_House11.csv,392.15,4431541,High Quality,0.9052,True,"Usable (Fridge, 18.35% active duty cycle)",True,"Usable (Washing Machine, 1.14% active)",False,Not monitored,Clean sensor profile,Candidate Test Set (In-Domain Benchmark Evaluation)
12,CLEAN_House12.csv,487.64,5859544,High Quality,0.242,True,"Usable (Fridge-Freezer, 32.17% active duty cycle)",False,Not monitored,True,"Usable (Television, 37.55% active)",Washing machine sub-meter unmonitored,General Auxiliary / Multi-House Training Pool
13,CLEAN_House13.csv,498.53,4737371,Moderate (Filterable),2.6132,True,"Usable (Fridge, 21.44% active duty cycle)",True,"Usable (Washing Machine, 4.13% active)",True,"Usable (Television, 4.35% active)",Elevated sensor glitch flags (2.6132% Issues=1),General Auxiliary / Multi-House Training Pool
15,CLEAN_House15.csv,567.37,6225696,High Quality,0.375,True,"Usable (Fridge-Freezer, 31.38% active duty cycle)",True,"Usable (Washing Machine, 2.46% active)",True,"Usable (Television, 25.33% active)",Clean sensor profile,Candidate Validation Set (In-Domain Early Stopping)
16,CLEAN_House16.csv,543.63,5722544,High Quality,0.2571,True,"Usable (Fridge-Freezer (1), 43.97% active duty cycle)",False,"Defective/Unused (Washing Machine, only 0.04% active samples)",True,"Usable (Television, 2.08% active)",Washing machine sub-meter failed/unplugged,General Auxiliary / Multi-House Training Pool
17,CLEAN_House17.csv,469.94,5431577,High Quality,1.5822,True,"Standalone freezer only (Freezer, 39.77% active)",True,"Usable (Washing Machine, 35.77% active)",True,"Usable (Television, 36.03% active)",Clean sensor profile,General Auxiliary / Multi-House Training Pool
