household,filename,total_rows,issues_0_count,issues_0_pct,issues_1_count,issues_1_pct,issues_nan_count
1,CLEAN_House1.csv,6960008,6901825,99.164,58183,0.836,0
2,CLEAN_House2.csv,5733526,5705082,99.5039,28444,0.4961,0
3,CLEAN_House3.csv,6994594,6585967,94.158,408627,5.842,0
4,CLEAN_House4.csv,6760511,6693070,99.0024,67441,0.9976,0
5,CLEAN_House5.csv,7430755,7004989,94.2702,425766,5.7298,0
6,CLEAN_House6.csv,6241971,6207520,99.4481,34451,0.5519,0
7,CLEAN_House7.csv,6756034,6594115,97.6033,161919,2.3967,0
8,CLEAN_House8.csv,6118469,6093469,99.5914,25000,0.4086,0
9,CLEAN_House9.csv,6169525,6137299,99.4777,32226,0.5223,0
10,CLEAN_House10.csv,6739284,6709122,99.5524,30162,0.4476,0
11,CLEAN_House11.csv,4431541,4391427,99.0948,40114,0.9052,0
12,CLEAN_House12.csv,5859544,5845361,99.758,14183,0.242,0
13,CLEAN_House13.csv,4737371,4613575,97.3868,123796,2.6132,0
15,CLEAN_House15.csv,6225696,6202347,99.625,23349,0.375,0
16,CLEAN_House16.csv,5722544,5707831,99.7429,14713,0.2571,0
17,CLEAN_House17.csv,5431577,5345640,98.4178,85937,1.5822,0
18,CLEAN_House18.csv,5007721,4833231,96.5156,174490,3.4844,0
19,CLEAN_House19.csv,5622610,5559974,98.886,62636,1.114,0
20,CLEAN_House20.csv,5168605,5149011,99.6209,19594,0.3791,0
21,CLEAN_House21.csv,5383993,5177161,96.1584,206832,3.8416,0
