household,filename,column,total_rows,missing_count,missing_pct,zero_count,zero_pct,negative_count,min_val,max_val,mean_val,median_val,std_val
1,CLEAN_House1.csv,Aggregate,6960008,0,0.0,44,0.0,0,0.0,29159.0,481.14,242.0,812.89
1,CLEAN_House1.csv,Appliance1,6960008,0,0.0,5348680,76.85,0,0.0,3584.0,17.54,0.0,43.09
1,CLEAN_House1.csv,Appliance2,6960008,0,0.0,4564654,65.58,0,0.0,3452.0,16.55,0.0,28.84
1,CLEAN_House1.csv,Appliance3,6960008,0,0.0,4159666,59.77,0,0.0,3657.0,29.01,0.0,38.01
1,CLEAN_House1.csv,Appliance4,6960008,0,0.0,6931891,99.6,0,0.0,3584.0,1.84,0.0,56.11
1,CLEAN_House1.csv,Appliance5,6960008,0,0.0,6803776,97.76,0,0.0,3072.0,11.03,0.0,143.92
1,CLEAN_House1.csv,Appliance6,6960008,0,0.0,6894736,99.06,0,0.0,2525.0,11.16,0.0,156.79
1,CLEAN_House1.csv,Appliance7,6960008,0,0.0,6203369,89.13,0,0.0,2094.0,2.47,0.0,11.93
1,CLEAN_House1.csv,Appliance8,6960008,0,0.0,5686109,81.7,0,0.0,3584.0,5.8,0.0,13.17
1,CLEAN_House1.csv,Appliance9,6960008,0,0.0,60673,0.87,0,0.0,2119.0,69.48,1.0,255.8
1,CLEAN_House1.csv,Issues,6960008,0,0.0,6901825,99.16,0,0.0,1.0,0.01,0.0,0.09
2,CLEAN_House2.csv,Aggregate,5733526,0,0.0,75,0.0,0,0.0,24595.0,465.1,169.0,1062.58
2,CLEAN_House2.csv,Appliance1,5733526,0,0.0,50,0.0,0,0.0,1690.0,35.77,1.0,45.65
2,CLEAN_House2.csv,Appliance2,5733526,0,0.0,5413660,94.42,0,0.0,3584.0,18.27,0.0,174.3
2,CLEAN_House2.csv,Appliance3,5733526,0,0.0,5274850,92.0,0,0.0,3092.0,61.54,0.0,352.33
2,CLEAN_House2.csv,Appliance4,5733526,0,0.0,5207963,90.83,0,0.0,3584.0,3.97,0.0,13.39
2,CLEAN_House2.csv,Appliance5,5733526,0,0.0,5691425,99.27,0,0.0,3072.0,3.28,0.0,58.64
2,CLEAN_House2.csv,Appliance6,5733526,0,0.0,5715816,99.69,0,0.0,3968.0,1.55,0.0,38.0
2,CLEAN_House2.csv,Appliance7,5733526,0,0.0,5116204,89.23,0,0.0,3040.0,1.73,0.0,5.69
2,CLEAN_House2.csv,Appliance8,5733526,0,0.0,5674605,98.97,0,0.0,3729.0,23.16,0.0,249.45
2,CLEAN_House2.csv,Appliance9,5733526,0,0.0,5698383,99.39,0,0.0,2048.0,0.37,0.0,5.37
2,CLEAN_House2.csv,Issues,5733526,0,0.0,5705082,99.5,0,0.0,1.0,0.0,0.0,0.07
3,CLEAN_House3.csv,Aggregate,6994594,0,0.0,50,0.0,0,0.0,65836.0,678.46,368.0,1013.23
