household,filename,total_intervals,strictly_ordered,inversion_count,duplicate_count,duplicate_pct,nominal_7to9s_count,nominal_7to9s_pct,intervals_1to6s,intervals_10to30s,intervals_31to60s,intervals_61to300s,large_gaps_gt_300s,gaps_gt_60s_pct,median_interval_s,mean_interval_s,min_interval_s,max_interval_s
1,CLEAN_House1.csv,6960007,True,0,0,0.0,2601121,37.37,2794800,1559628,1018,3012,428,0.049,7.0,7.27,1,92335
2,CLEAN_House2.csv,5733525,True,0,0,0.0,2438504,42.53,2110692,1176677,5347,1826,479,0.04,7.0,10.05,1,747255
3,CLEAN_House3.csv,6994593,True,0,0,0.0,2626500,37.55,2892767,1470855,1064,3265,142,0.049,7.0,7.32,1,198427
4,CLEAN_House4.csv,6760510,True,0,0,0.0,3091980,45.74,2210176,1453230,1206,2964,954,0.058,7.0,7.53,1,20621
5,CLEAN_House5.csv,7430754,True,0,0,0.0,3233691,43.52,2865983,1317270,9837,3104,869,0.053,7.0,7.45,1,198421
6,CLEAN_House6.csv,6241970,True,0,0,0.0,2455731,39.34,2536939,1242619,1651,4885,145,0.081,7.0,6.78,1,1783
7,CLEAN_House7.csv,6756033,True,0,0,0.0,2594230,38.4,2713152,1440480,5325,2703,143,0.042,7.0,8.05,1,376524
8,CLEAN_House8.csv,6118468,True,0,0,0.0,2443409,39.93,2242380,1424243,5420,2909,107,0.049,7.0,7.09,1,3331
9,CLEAN_House9.csv,6169524,True,0,0,0.0,3036349,49.22,2066397,1058709,5305,2661,103,0.045,7.0,18.42,1,3594413
10,CLEAN_House10.csv,6739283,True,0,0,0.0,3094029,45.91,2903612,729468,6234,5051,889,0.088,7.0,9.18,1,747248
11,CLEAN_House11.csv,4431540,True,0,0,0.0,3099583,69.94,961372,363087,4926,2508,64,0.058,7.0,6.86,1,2540
12,CLEAN_House12.csv,5859543,True,0,0,0.0,3545984,60.52,1820838,489871,496,2003,351,0.04,7.0,6.75,1,1408
13,CLEAN_House13.csv,4737370,True,0,0,0.0,2313360,48.83,1706251,705734,4043,7192,790,0.168,7.0,7.15,1,2090
15,CLEAN_House15.csv,6225695,True,0,0,0.0,2511416,40.34,2521715,1184461,5390,1959,754,0.044,7.0,7.68,1,198423
16,CLEAN_House16.csv,5722543,True,0,0,0.0,3061492,53.5,1984695,668941,5738,940,737,0.029,7.0,14.93,1,1562990
17,CLEAN_House17.csv,5431576,True,0,0,0.0,2592613,47.73,1841243,989772,5215,2608,125,0.05,7.0,7.04,1,716
18,CLEAN_House18.csv,5007720,True,0,0,0.0,2258614,45.1,1730444,1013038,5159,409,56,0.009,7.0,7.17,1,162
19,CLEAN_House19.csv,5622609,True,0,0,0.0,2820417,50.16,1854828,938692,5518,2844,310,0.056,7.0,6.83,1,3607
20,CLEAN_House20.csv,5168604,True,0,0,0.0,2506494,48.49,1692159,963119,5094,1694,44,0.034,7.0,7.21,1,782
21,CLEAN_House21.csv,5383992,True,0,0,0.0,2426683,45.07,1932049,1018488,5259,1403,110,0.028,7.0,14.76,1,1268252
